xq2_bin,z_bin_phi,pt2_bin_phi,phi_content_sum,phi_bin_count,z_bin0,pt2_bin0,z_bin_spec,pt2_bin_spec,spec_content,error,_merge,diff(phiSum - spec),ratio(phiSum/spec)
2,4,4,6872.9817,8,3,3,3.0,3.0,5777.3,294.924,both,1095.6817,1.1896529001436658
2,4,5,12662.9542,8,3,4,3.0,4.0,10706.0,362.604,both,1956.9542000000001,1.1827904165888288
2,4,6,9176.6507,8,3,5,3.0,5.0,7854.69,195.13,both,1321.9607000000005,1.1683020844871026
2,4,7,5913.491599999999,8,3,6,3.0,6.0,4992.89,175.373,both,920.601599999999,1.184382511931967
2,4,8,4855.204,8,3,7,3.0,7.0,4108.43,170.373,both,746.7739999999994,1.1817662708139118
2,4,9,1989.0425,8,3,8,3.0,8.0,1684.2,73.4014,both,304.8425,1.1810013656335352
2,4,10,918.4862999999999,8,3,9,3.0,9.0,779.96,34.4607,both,138.52629999999988,1.177606928560439
2,4,11,201.0344,8,3,10,3.0,10.0,212.269,30.5497,both,-11.2346,0.9470737601816563
2,5,1,7040.316000000001,8,4,0,4.0,0.0,5719.91,416.049,both,1320.4060000000009,1.2308438419485623
2,5,2,4834.6106,8,4,1,4.0,1.0,4100.99,172.21,both,733.6206000000002,1.1788886585921936
2,5,3,4062.53558,8,4,2,4.0,2.0,3458.09,149.484,both,604.4455800000001,1.1747917434190551
2,5,4,3857.4292000000005,8,4,3,4.0,3.0,3301.95,199.046,both,555.4792000000007,1.1682276230712156
2,5,5,6881.7627999999995,8,4,4,4.0,4.0,5860.71,241.869,both,1021.0527999999995,1.1742199835856064
2,5,6,6030.8419,8,4,5,4.0,5.0,5048.82,167.83,both,982.0219000000006,1.194505230925246
2,5,7,4436.1575,8,4,6,4.0,6.0,3830.28,134.382,both,605.8775,1.158180994600917
2,5,8,4396.7312999999995,8,4,7,4.0,7.0,3741.14,196.715,both,655.5912999999996,1.1752383765376329
2,5,9,2292.154,8,4,8,4.0,8.0,1926.79,108.185,both,365.36400000000003,1.189623155611146
2,5,10,1259.3394,8,4,9,4.0,9.0,1103.57,57.3791,both,155.76940000000013,1.1411504480911951
2,5,11,408.0784,8,4,10,4.0,10.0,345.633,46.0164,both,62.44540000000001,1.1806696698521264
2,6,1,5354.345,8,5,0,5.0,0.0,4550.15,206.333,both,804.1950000000006,1.1767403272419592
2,6,2,3311.4285,8,5,1,5.0,1.0,2826.31,137.234,both,485.11850000000004,1.1716437687302526
2,6,3,2718.7707,8,5,2,5.0,2.0,2323.92,100.528,both,394.85069999999996,1.1699071826913146
2,6,4,2230.8172999999997,8,5,3,5.0,3.0,1907.97,130.311,both,322.8472999999997,1.1692098408255893
2,6,5,4125.0801,8,5,4,5.0,4.0,3446.99,140.375,both,678.0901000000003,1.1967194856962162
2,6,6,3494.2650000000003,8,5,5,5.0,5.0,3025.35,123.241,both,468.9150000000004,1.1549952898011802
2,6,7,2786.523,8,5,6,5.0,6.0,2370.63,99.4267,both,415.89300000000003,1.175435643689652
2,6,8,3062.083,8,5,7,5.0,7.0,2637.29,147.365,both,424.7930000000001,1.1610717820186631
2,6,9,1413.2350000000001,8,5,8,5.0,8.0,1197.12,51.3738,both,216.11500000000024,1.180529103180968
2,6,10,661.3248,8,5,9,5.0,9.0,570.182,32.0185,both,91.14279999999997,1.1598486097421525
