# ix,iz,iPt,ratio_corr
14,5,8,0.119927
14,5,9,0.129124
14,5,10,0.143656
14,5,11,0.165563
14,6,1,0.0699229
14,6,2,0.0673442
14,6,3,0.0703689
14,6,4,0.0723077
14,6,5,0.0795136
14,6,6,0.0907494
14,6,7,0.103849
14,6,8,0.119295
14,6,9,0.129931
14,6,10,0.135859
14,6,11,0.147387
14,7,1,0.0834177
14,7,2,0.07826
14,7,3,0.0759948
14,7,4,0.0768318
14,7,5,0.0875491
14,7,6,0.0933641
14,7,7,0.100111
14,7,8,0.110874
14,7,9,0.106363
14,7,10,0.0983669
14,7,11,0
14,8,1,0.0791943
14,8,2,0.0655405
14,8,3,0.0639077
14,8,4,0.0502566
14,8,5,0.0622441
14,8,6,0.0411176
14,8,7,0
14,8,8,0
14,8,9,0
14,8,10,0
14,8,11,0
15,1,1,0.000977538
15,1,2,0.00196948
15,1,3,0.00292574
15,1,4,0.00278257
15,1,5,0.000975922
15,1,6,0
15,1,7,0
15,1,8,0
15,1,9,0
15,1,10,0
15,1,11,0
15,2,1,0.0330584
15,2,2,0.0385318
15,2,3,0.0431937
15,2,4,0.0451602
15,2,5,0.0425338
15,2,6,0.0288143
15,2,7,0.0144227
15,2,8,0.00408427
15,2,9,0
15,2,10,0
15,2,11,0
15,3,1,0.0537041
15,3,2,0.0596572
15,3,3,0.0645331
15,3,4,0.0708768
15,3,5,0.0787646
15,3,6,0.0800189
15,3,7,0.0766591
15,3,8,0.0675519
15,3,9,0.0473284
15,3,10,0.0251867
15,3,11,0.00329474
15,4,1,0.074082
15,4,2,0.0682113
15,4,3,0.0714901
15,4,4,0.0760649
15,4,5,0.0880762
15,4,6,0.0967813
15,4,7,0.100313
15,4,8,0.100984
15,4,9,0.099224
15,4,10,0.106453
15,4,11,0.114466
15,5,1,0.0960928
15,5,2,0.0789322
15,5,3,0.0755096
15,5,4,0.0766886
15,5,5,0.0867777
15,5,6,0.0984555
15,5,7,0.107945
15,5,8,0.116195
15,5,9,0.12181
15,5,10,0.129389
15,5,11,0.127867
15,6,1,0.112445
15,6,2,0.0923432
15,6,3,0.0824541
15,6,4,0.082211
15,6,5,0.0874711
15,6,6,0.0974989
15,6,7,0.108597
15,6,8,0.118747
15,6,9,0.120338
15,6,10,0.109846
15,6,11,0.0343274
15,7,1,0.136171
15,7,2,0.112779
15,7,3,0.0970807
15,7,4,0.0884542
15,7,5,0.0917961
15,7,6,0.0958705
15,7,7,0.0808552
15,7,8,0.076551
15,7,9,0
15,7,10,0
15,7,11,0
15,8,1,0.0697649
15,8,2,0.0469269
15,8,3,0
15,8,4,0
15,8,5,0
15,8,6,0
15,8,7,0
15,8,8,0
15,8,9,0
15,8,10,0
15,8,11,0
16,1,1,0.000200591
16,1,2,0.000328033
16,1,3,0.000446698
16,1,4,0.00027278
16,1,5,6.75513e-06
16,1,6,0
16,1,7,0
16,1,8,0
16,1,9,0
16,1,10,0
16,1,11,0
16,2,1,0.0198833
16,2,2,0.0175459
16,2,3,0.0167653
16,2,4,0.016835
16,2,5,0.0137503
16,2,6,0.00690238
16,2,7,0.00197189
16,2,8,0
16,2,9,0
16,2,10,0
16,2,11,0
16,3,1,0.0552878
16,3,2,0.0482369
16,3,3,0.0443886
16,3,4,0.0432053
16,3,5,0.0458977
16,3,6,0.0456904
16,3,7,0.0407475
16,3,8,0.0332029
16,3,9,0.0187553
16,3,10,0.00147668
16,3,11,0
16,4,1,0.0904114
16,4,2,0.0687566
16,4,3,0.0637666
16,4,4,0.063261
16,4,5,0.0675055
16,4,6,0.0727973
16,4,7,0.0764203
16,4,8,0.0780562
16,4,9,0.0800316
16,4,10,0.0664968
16,4,11,0
16,5,1,0.120005
16,5,2,0.0943603
16,5,3,0.0806298
16,5,4,0.0778025
16,5,5,0.0832971
16,5,6,0.0918533
16,5,7,0.102512
16,5,8,0.109652
16,5,9,0.112831
16,5,10,0.07063
16,5,11,0
16,6,1,0.145111
16,6,2,0.119207
16,6,3,0.101048
16,6,4,0.0917999
16,6,5,0.0925832
16,6,6,0.0987352
16,6,7,0.101897
16,6,8,0.0998187
16,6,9,0.00520171
16,6,10,0
16,6,11,0
16,7,1,0.158561
16,7,2,0.123146
16,7,3,0.106185
16,7,4,0.0839183
16,7,5,0.069824
16,7,6,0.0299287
16,7,7,0
16,7,8,0
16,7,9,0
16,7,10,0
16,7,11,0
16,8,1,0
16,8,2,0
16,8,3,0
16,8,4,0
16,8,5,0
16,8,6,0
16,8,7,0
16,8,8,0
16,8,9,0
