# ix,iz,iPt,ratio_corr
12,6,6,0.0809787
12,6,7,0.0836483
12,6,8,0.0449103
12,6,9,0
12,6,10,0
12,6,11,0
12,7,1,0.15789
12,7,2,0.111304
12,7,3,0.0811785
12,7,4,0.0620742
12,7,5,0.0280932
12,7,6,0
12,7,7,0
12,7,8,0
12,7,9,0
12,7,10,0
12,7,11,0
12,8,1,0
12,8,2,0
12,8,3,0
12,8,4,0
12,8,5,0
12,8,6,0
12,8,7,0
12,8,8,0
12,8,9,0
12,8,10,0
12,8,11,0
13,1,1,0
13,1,2,0
13,1,3,0
13,1,4,0
13,1,5,0
13,1,6,0
13,1,7,0
13,1,8,0
13,1,9,0
13,1,10,0
13,1,11,0
13,2,1,0.003431
13,2,2,0.00200957
13,2,3,0.00169017
13,2,4,0.00181531
13,2,5,0.00108287
13,2,6,5.60509e-05
13,2,7,0
13,2,8,0
13,2,9,0
13,2,10,0
13,2,11,0
13,3,1,0.0297504
13,3,2,0.0201937
13,3,3,0.0146444
13,3,4,0.0139499
13,3,5,0.0160619
13,3,6,0.0138195
13,3,7,0.00759236
13,3,8,0.0023002
13,3,9,0
13,3,10,0
13,3,11,0
13,4,1,0.0491564
13,4,2,0.0403594
13,4,3,0.0317802
13,4,4,0.0289354
13,4,5,0.0312474
13,4,6,0.0347407
13,4,7,0.0266096
13,4,8,0.00983383
13,4,9,0
13,4,10,0
13,4,11,0
13,5,1,0.105108
13,5,2,0.0707242
13,5,3,0.0519986
13,5,4,0.0449508
13,5,5,0.0471105
13,5,6,0.0457765
13,5,7,0.0189929
13,5,8,0
13,5,9,0
13,5,10,0
13,5,11,0
13,6,1,0.141838
13,6,2,0.100886
13,6,3,0.0721855
13,6,4,0.0587153
13,6,5,0.0447968
13,6,6,0
13,6,7,0
13,6,8,0
13,6,9,0
13,6,10,0
13,6,11,0
13,7,1,0.0602899
13,7,2,0
13,7,3,0
13,7,4,0
13,7,5,0
13,7,6,0
13,7,7,0
13,7,8,0
13,7,9,0
13,7,10,0
13,7,11,0
13,8,1,0
13,8,2,0
13,8,3,0
13,8,4,0
13,8,5,0
13,8,6,0
13,8,7,0
13,8,8,0
13,8,9,0
13,8,10,0
13,8,11,0
14,1,1,0.00154041
14,1,2,0.00402868
14,1,3,0.00652871
14,1,4,0.0070264
14,1,5,0.00448387
14,1,6,0.000232595
14,1,7,0
14,1,8,0
14,1,9,0
14,1,10,0
14,1,11,0
14,2,1,0.0197985
14,2,2,0.0437718
14,2,3,0.0538218
14,2,4,0.0647596
14,2,5,0.0706214
14,2,6,0.0629024
14,2,7,0.0437696
14,2,8,0.0221577
14,2,9,0.00285397
14,2,10,0
14,2,11,0
14,3,1,0.0388073
14,3,2,0.0525712
14,3,3,0.0634719
14,3,4,0.0736076
14,3,5,0.0883309
14,3,6,0.0997274
14,3,7,0.10683
14,3,8,0.111245
14,3,9,0.0989599
14,3,10,0.0715952
14,3,11,0.0248003
14,4,1,0.0359425
14,4,2,0.055469
14,4,3,0.0643532
14,4,4,0.0711568
14,4,5,0.0861638
14,4,6,0.100704
14,4,7,0.110728
14,4,8,0.120826
14,4,9,0.127868
14,4,10,0.136265
14,4,11,0.143036
14,5,1,0.0574206
14,5,2,0.0602543
14,5,3,0.0665981
14,5,4,0.069955
14,5,5,0.082687
14,5,6,0.0968029
14,5,7,0.108462
14,5,8,0.116397
14,5,9,0.125909
14,5,10,0.142238
14,5,11,0.161371
14,6,1,0.0711201
14,6,2,0.0674062
14,6,3,0.0699858
14,6,4,0.0715296
14,6,5,0.0801879
14,6,6,0.0894683
14,6,7,0.100806
14,6,8,0.116937
14,6,9,0.124874
14,6,10,0.1347
14,6,11,0.147427
14,7,1,0.0845542
14,7,2,0.0756775
14,7,3,0.0769293
14,7,4,0.0764751
14,7,5,0.0861387
14,7,6,0.0939388
14,7,7,0.0985788
14,7,8,0.108653
14,7,9,0.10181
14,7,10,0.0871857
14,7,11,0
14,8,1,0.0741129
14,8,2,0.0645583
14,8,3,0.0615362
14,8,4,0.0377497
14,8,5,0.0632918
14,8,6,0.0425429
14,8,7,0
14,8,8,0
14,8,9,0
14,8,10,0
14,8,11,0
15,1,1,0.000938854
15,1,2,0.00198163
15,1,3,0.00283609
15,1,4,0.00258866
15,1,5,0.000859461
15,1,6,0
15,1,7,0
15,1,8,0
15,1,9,0
15,1,10,0
15,1,11,0
15,2,1,0.0341656
15,2,2,0.0387915
15,2,3,0.0426993
15,2,4,0.0445038
15,2,5,0.04194
15,2,6,0.0278851
15,2,7,0.0137507
15,2,8,0.00293115
15,2,9,0
15,2,10,0
15,2,11,0
15,3,1,0.0552038
15,3,2,0.0602509
15,3,3,0.0646909
15,3,4,0.0703138
15,3,5,0.0783912
15,3,6,0.0783917
15,3,7,0.0746695
15,3,8,0.065784
15,3,9,0.0448585
15,3,10,0.0211302
15,3,11,0.00329875
15,4,1,0.0532047
15,4,2,0.069154
15,4,3,0.0715686
15,4,4,0.0747219
15,4,5,0.0872762
15,4,6,0.0961461
15,4,7,0.0976413
15,4,8,0.097463
15,4,9,0.0941416
15,4,10,0.103914
15,4,11,0.0994832
15,5,1,0.0966034
15,5,2,0.0795817
15,5,3,0.075707
15,5,4,0.0760524
15,5,5,0.0851106
15,5,6,0.0973526
15,5,7,0.105313
15,5,8,0.113248
15,5,9,0.117447
15,5,10,0.12378
15,5,11,0.126627
15,6,1,0.112938
15,6,2,0.0925189
15,6,3,0.082036
15,6,4,0.0811864
15,6,5,0.087156
15,6,6,0.0961541
15,6,7,0.105445
15,6,8,0.118648
15,6,9,0.112691
15,6,10,0.0590952
15,6,11,0.0100502
15,7,1,0.137153
15,7,2,0.110773
15,7,3,0.0977211
15,7,4,0.0860319
15,7,5,0.0901297
15,7,6,0.0923789
15,7,7,0.0703725
15,7,8,0.0633021
15,7,9,0
15,7,10,0
15,7,11,0
15,8,1,0.0696328
15,8,2,0.0463207
15,8,3,0
15,8,4,0
15,8,5,0
15,8,6,0
15,8,7,0
15,8,8,0
15,8,9,0
15,8,10,0
15,8,11,0
16,1,1,0.000179571
16,1,2,0.000318347
16,1,3,0.000396873
16,1,4,0.000241518
16,1,5,0
16,1,6,0
16,1,7,0
16,1,8,0
16,1,9,0
16,1,10,0
16,1,11,0
16,2,1,0.0163961
16,2,2,0.0178023
16,2,3,0.0167345
16,2,4,0.0164946
16,2,5,0.0134449
16,2,6,0.00648774
16,2,7,0.00130457
16,2,8,0
16,2,9,0
16,2,10,0
16,2,11,0
