xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
9,10,2,5,8,549866.9771274326,4875.925178051659
9,10,2,6,8,289578.62996488967,3382.0446746872476
9,10,2,7,8,147095.52291902364,3098.3791498727933
9,10,2,8,8,123191.85696303679,3569.4882602926023
9,10,2,9,8,0.0,0.0
9,10,2,10,8,0.0,0.0
9,10,2,11,8,0.0,0.0
9,10,3,1,8,444610.9522751546,6008.061054700614
9,10,3,2,8,358051.4386670207,4475.433127612414
9,10,3,3,8,275979.42869554256,3247.387086837584
9,10,3,4,8,226700.56671632166,2267.0834775351827
9,10,3,5,8,312504.1113342843,2444.684527141503
9,10,3,6,8,188361.250647374,1712.361361884209
9,10,3,7,8,107591.83471132677,1276.221745229602
9,10,3,8,8,81898.41936029312,1071.0066507108081
9,10,3,9,8,35356.061747466156,781.5718042465054
9,10,3,10,8,20002.093547469503,711.7732024622816
9,10,3,11,8,5652.7488713304365,664.0732976653093
9,10,4,1,8,202984.75756435026,3164.986875001483
9,10,4,2,8,166441.69636075426,2287.3490606499217
9,10,4,3,8,144947.64948999335,1989.4386123075387
9,10,4,4,8,119230.85158222233,1583.186953613345
9,10,4,5,8,174230.66412077547,1773.2413692113305
9,10,4,6,8,119249.3815956809,1283.8449989653477
9,10,4,7,8,77979.9041451265,921.2472224007291
9,10,4,8,8,67310.25581997551,827.4168496829774
9,10,4,9,8,33602.146009980104,580.0857722615469
9,10,4,10,8,18354.097001379996,412.5222643462414
9,10,4,11,8,7643.86017297603,269.6616900057764
9,10,5,1,8,106620.52747819669,1766.3321459933254
9,10,5,2,8,96032.0125571181,1559.1862092623635
9,10,5,3,8,81618.36729650498,1378.3745408063965
9,10,5,4,8,72129.52657549718,1169.996048049116
9,10,5,5,8,102226.77886284847,1432.7224315659041
9,10,5,6,8,73966.11825931187,1003.5736511994055
9,10,5,7,8,52735.83047404656,748.8535210458703
9,10,5,8,8,50042.72423596324,695.0526751906311
9,10,5,9,8,27926.363349336425,495.066847802543
9,10,5,10,8,17332.84892623701,370.2069371535537
9,10,5,11,8,8741.532336226408,254.64190541838383
9,10,6,1,8,62274.51223417261,1036.892171625934
9,10,6,2,8,56190.25843500386,998.3741596803583
9,10,6,3,8,47384.318350578935,965.1478930091874
9,10,6,4,8,42200.12744715197,904.5064498494307
9,10,6,5,8,67465.4759682202,1080.9959524623303
9,10,6,6,8,48534.44524238105,819.5344761910371
9,10,6,7,8,35430.423036697866,618.5363689615704
9,10,6,8,8,32207.65537343191,561.374699171921
9,10,6,9,8,18876.293819916747,408.2880325089645
9,10,6,10,8,10308.233824755502,272.9594475801901
