xq2_bin,z_bin,pt2_bin,phi_nonzero_mean,phi_nonzero_count,phi_nonzero_sum,z_bin0,pt2_bin0
10,5,4,9850.1725,8,78801.38,4,3
10,5,5,15497.925,8,123983.4,4,4
10,5,6,10210.07375,8,81680.59,4,5
10,5,7,6688.855,8,53510.84,4,6
10,5,8,5857.854285714285,7,41004.979999999996,4,7
10,5,9,2482.055,6,14892.33,4,8
10,5,10,912.415,7,6386.905,4,9
10,5,11,202.38600000000002,5,1011.9300000000001,4,10
10,6,1,9973.76,8,79790.08,5,0
10,6,2,8704.48875,8,69635.91,5,1
10,6,3,7303.5,7,51124.5,5,2
10,6,4,6523.395,6,39140.37,5,3
10,6,5,9897.894999999999,6,59387.369999999995,5,4
10,6,6,6301.65,8,50413.2,5,5
10,6,7,3802.965,8,30423.72,5,6
10,6,8,2647.1242857142856,7,18529.87,5,7
10,6,9,897.9036666666667,6,5387.4220000000005,5,8
10,6,10,344.616,6,2067.696,5,9
10,7,1,4939.0975,8,39512.78,6,0
