xq2_bin,ybin,z_bin,pt2_bin,nphi,content,error
4,5,2,2,8,853780.0564555922,33976.24625973016
4,5,2,3,8,639343.0368654524,11399.688340044915
4,5,2,4,8,457282.08097769594,14233.985994034167
4,5,2,5,8,591218.5761074929,21285.844906964536
4,5,2,6,6,243695.63132362114,9424.670558567275
4,5,2,7,4,72882.25990697734,6049.15107869817
4,5,3,1,8,419017.32379791857,6382.75558585967
4,5,3,2,8,350582.34033278166,6975.344507004007
4,5,3,3,8,291316.80347667274,8262.455585176931
4,5,3,4,8,221421.24848116416,3470.130052240633
4,5,3,5,8,300843.7650544164,3943.3662653940687
4,5,3,6,8,177401.72148257017,3963.287314165714
4,5,3,7,8,105725.80879809464,5441.540709833829
4,5,3,8,6,48378.79953539132,1660.02794177187
4,5,3,9,5,14420.245344431438,1405.2814493094952
4,5,4,1,8,204479.26108641105,3079.345137415454
4,5,4,2,8,164756.16163265798,2886.1833683631253
4,5,4,3,8,134727.06589930312,3222.3152080679965
4,5,4,4,8,115266.05693272999,3669.723660451999
4,5,4,5,8,172561.31593191525,2709.02615716777
4,5,4,6,8,109253.90565554779,1894.9961180161526
4,5,4,7,8,65021.91260723859,1552.8721654826568
4,5,4,8,8,55103.97964395646,1606.5100489760891
4,5,4,9,6,14749.9132417225,537.7450953110863
4,5,4,10,6,4370.827368776872,300.33199663813366
4,5,5,1,8,110498.0912532577,1579.3957854134678
4,5,5,2,8,82945.95591854767,2156.5740610624885
4,5,5,3,8,68062.16664342493,2125.2681760051637
4,5,5,4,6,50320.202976521934,1240.0813368348788
4,5,5,5,8,103072.21814556622,2895.0515401442144
4,5,5,6,8,69144.15255194773,1930.9927021642588
4,5,5,7,8,45312.24273879165,1385.3111658642297
4,5,5,8,7,32009.333545855083,911.817971749717
4,5,5,9,7,12260.886906010532,481.2647523992057
4,5,5,10,6,3878.459916932194,298.6327652513333
4,5,6,1,8,68358.19814833911,973.5620318005033
4,5,6,2,8,56166.69305670036,1990.2701475558003
4,5,6,3,6,33448.63172099683,1790.9333660863033
4,5,6,4,5,26120.952690629165,914.2061980616664
4,5,6,5,7,53569.62208313236,1747.5198861581046
4,5,6,6,8,43080.360700387064,2089.941766533019
4,5,6,7,7,19519.09258972378,767.3703001965316
4,5,6,8,6,10269.291031306266,300.99600163332525
4,5,6,9,6,2956.3210368957884,170.3418168407916
4,5,6,10,1,199.4435476767232,74.32289583792115
4,5,7,1,8,31153.241274514658,523.5053477381463
4,5,7,2,7,21751.03846090968,692.3878395074685
4,5,7,3,6,14508.622541173363,776.9766824797737
4,5,7,4,4,7060.584728487139,561.2040733570079
4,5,7,5,5,9765.126362801735,498.27473287908447
4,5,7,6,6,5554.706024876003,507.50710856331455
4,5,7,7,3,809.8955206526647,88.1539774293291
4,5,8,1,2,223.0216703671629,43.42874385984618
5,6,2,1,8,1240065.3295395582,38697.17496811376
5,6,2,2,8,968644.3963664725,44001.517639674494
5,6,2,3,8,805682.1524417413,42517.893340685056
5,6,2,4,6,416547.6463644984,17321.21698926925
5,6,2,5,6,603033.4991094618,31760.733639622787
5,6,2,6,4,172251.27208881316,12809.92885737588
5,6,3,1,8,486614.47513538686,8152.388664924623
5,6,3,2,8,377448.3631322195,6501.431844972639
5,6,3,3,8,322348.76780457946,9165.625257670825
5,6,3,4,8,263758.869025305,5989.161239655974
5,6,3,5,8,369634.088709102,11549.24536445853
5,6,3,6,6,139353.5843233344,3785.9166437885037
5,6,3,7,6,68546.95640361882,4771.494191880587
5,6,3,8,4,18954.476186172396,1232.1415375418558
5,6,4,1,8,254517.49033690753,3027.733353786843
5,6,4,2,8,200564.52345843136,2910.886501397822
5,6,4,3,8,165822.5417085046,3062.6912189408904
5,6,4,4,8,145272.2678196098,3620.9278662512193
5,6,4,5,8,190831.8673962558,3385.405968150222
5,6,4,6,8,113767.94844204148,3290.774335182102
5,6,4,7,6,38377.20930847939,1252.188548052555
5,6,4,8,6,18798.2315933212,834.5143047657333
5,6,4,9,1,510.35944135614534,91.75513641988647
5,6,5,1,8,140755.164427902,1653.9419582044088
5,6,5,2,8,110805.47860328037,1953.9176109727969
5,6,5,3,8,88017.6797819136,1751.099036714729
5,6,5,4,8,70063.18465415513,1675.633202775394
