xq2_center,xq2_bin,iy,z_bin,pt2_bin,z_label,pt2_label,rootfile,source,npoints,p0,p1,p2,chi2,ndf,status
1.000000,1,2,7,6,0.70–0.80,0.30–0.40,measData_times_truth_over_meas.root,file1,6,6339.440954,-952.1980595,-740.5522206,6.544132571,3,0
1.000000,1,2,7,6,0.70–0.80,0.30–0.40,measData_times_truth_over_meas.root,file2,6,6233.726337,-1112.410333,-801.8050215,8.075923111,3,0
1.000000,1,2,7,7,0.70–0.80,0.40–0.50,measData_times_truth_over_meas.root,file1,6,5534.862678,351.5056998,307.0743959,4.143976157,3,0
1.000000,1,2,7,7,0.70–0.80,0.40–0.50,measData_times_truth_over_meas.root,file2,6,5591.758391,486.1613644,357.2753482,4.701871425,3,0
1.000000,1,2,7,8,0.70–0.80,0.50–0.65,measData_times_truth_over_meas.root,file1,6,4973.352988,-400.4971089,-253.7356334,3.417302778,3,0
1.000000,1,2,7,8,0.70–0.80,0.50–0.65,measData_times_truth_over_meas.root,file2,6,4833.344326,-304.4910103,-196.0579386,2.504964371,3,0
1.000000,1,2,7,9,0.70–0.80,0.65–0.80,measData_times_truth_over_meas.root,file1,6,3580.415557,192.9328551,270.0607928,1.595560683,3,0
1.000000,1,2,7,9,0.70–0.80,0.65–0.80,measData_times_truth_over_meas.root,file2,6,3370.199414,329.9824181,343.5068413,5.41983945,3,0
1.000000,1,2,7,10,0.70–0.80,0.80–1.00,measData_times_truth_over_meas.root,file1,6,2636.626186,-26.37541359,299.7394022,0.7169225752,3,0
1.000000,1,2,7,10,0.70–0.80,0.80–1.00,measData_times_truth_over_meas.root,file2,6,1993.272439,-154.6272152,56.70876933,2.045989729,3,0
1.000000,1,2,7,11,0.70–0.80,1.00–1.50,measData_times_truth_over_meas.root,file1,7,2188.708258,-312.7522615,17.78997868,2.382373322,4,0
1.000000,1,2,7,11,0.70–0.80,1.00–1.50,measData_times_truth_over_meas.root,file2,6,929.682892,156.6636489,98.41994905,3.086963023,3,0
1.000000,1,2,8,8,0.80–1.00,0.50–0.65,measData_times_truth_over_meas.root,file1,6,3348.102906,-825.919388,-1496.019007,14.47829585,3,0
1.000000,1,2,8,9,0.80–1.00,0.65–0.80,measData_times_truth_over_meas.root,file1,6,2097.170354,-585.0753084,-761.8977711,12.46667661,3,0
1.000000,1,2,8,10,0.80–1.00,0.80–1.00,measData_times_truth_over_meas.root,file1,6,1776.543906,-273.7201496,-368.6293581,27.27580466,3,0
1.000000,1,2,8,11,0.80–1.00,1.00–1.50,measData_times_truth_over_meas.root,file1,6,1753.166716,814.4612859,37.91053528,1.035619868,3,0
