ixq2,ipt,point,x,y,exl,exh,eyl,eyh
8,9,4,0.727372,0.010267,0,0,0.00178495,0.00178495
9,0,0,0.248883,7.83905,0,0,1.57732,1.57732
9,0,1,0.447956,1.57493,0,0,0.136628,0.136628
9,0,2,0.547597,0.842681,0,0,0.093267,0.093267
9,0,3,0.645622,0.494196,0,0,0.0448528,0.0448528
9,0,4,0.743001,0.299697,0,0,0.0335363,0.0335363
9,1,0,0.24828,6.14495,0,0,0.809752,0.809752
9,1,1,0.345844,2.75003,0,0,0.26732,0.26732
9,1,2,0.446134,1.32406,0,0,0.102589,0.102589
9,1,3,0.546608,0.758144,0,0,0.061123,0.061123
9,1,4,0.646125,0.438519,0,0,0.0346739,0.0346739
9,1,5,0.744079,0.256878,0,0,0.0285787,0.0285787
9,2,0,0.248883,4.85597,0,0,0.436923,0.436923
9,2,1,0.346321,2.31629,0,0,0.176426,0.176426
9,2,2,0.445703,1.14297,0,0,0.088143,0.088143
9,2,3,0.546307,0.65844,0,0,0.0526157,0.0526157
9,2,4,0.64549,0.358565,0,0,0.0274721,0.0274721
9,2,5,0.742187,0.200137,0,0,0.0238361,0.0238361
9,3,0,0.251184,3.50511,0,0,0.254525,0.254525
9,3,1,0.345912,1.86707,0,0,0.133869,0.133869
9,3,2,0.446047,0.964054,0,0,0.0620901,0.0620901
9,3,3,0.546096,0.563397,0,0,0.0362083,0.0362083
9,3,4,0.644927,0.324222,0,0,0.0287521,0.0287521
9,3,5,0.74122,0.175445,0,0,0.0237372,0.0237372
9,4,0,0.254347,2.27057,0,0,0.159915,0.159915
9,4,1,0.347278,1.28259,0,0,0.0726524,0.0726524
9,4,2,0.446387,0.698833,0,0,0.0389581,0.0389581
9,4,3,0.545633,0.415928,0,0,0.0256499,0.0256499
9,4,4,0.643148,0.264811,0,0,0.021613,0.021613
9,4,5,0.739513,0.134282,0,0,0.0143135,0.0143135
9,5,0,0.261477,1.16397,0,0,0.0825642,0.0825642
9,5,1,0.349399,0.758773,0,0,0.0404669,0.0404669
9,5,2,0.446933,0.48115,0,0,0.0231807,0.0231807
9,5,3,0.545849,0.297148,0,0,0.0181428,0.0181428
9,5,4,0.644201,0.188722,0,0,0.0143677,0.0143677
9,5,5,0.736872,0.0900601,0,0,0.0113861,0.0113861
9,6,0,0.271008,0.58573,0,0,0.0449371,0.0449371
9,6,1,0.349877,0.420703,0,0,0.0228444,0.0228444
9,6,2,0.447652,0.300172,0,0,0.0177205,0.0177205
9,6,3,0.545525,0.208774,0,0,0.0122944,0.0122944
9,6,4,0.643045,0.134116,0,0,0.0115175,0.0115175
9,6,5,0.73439,0.05552,0,0,0.00632036,0.00632036
9,7,0,0.281711,0.291401,0,0,0.0235395,0.0235395
9,7,1,0.351529,0.212582,0,0,0.0141774,0.0141774
9,7,2,0.448499,0.172202,0,0,0.00857355,0.00857355
9,7,3,0.546682,0.133965,0,0,0.00800494,0.00800494
9,7,4,0.644898,0.0811568,0,0,0.0060347,0.0060347
9,7,5,0.729893,0.0320385,0,0,0.00635702,0.00635702
9,8,0,0.290545,0.0734375,0,0,0.0269989,0.0269989
9,8,1,0.356262,0.0866013,0,0,0.00696034,0.00696034
9,8,2,0.449826,0.0832225,0,0,0.00429288,0.00429288
9,8,3,0.546973,0.0688186,0,0,0.00481096,0.00481096
9,8,4,0.64398,0.0473302,0,0,0.00383013,0.00383013
9,8,5,0.725045,0.00813419,0,0,0.00222313,0.00222313
9,9,0,0.368041,0.0345163,0,0,0.00278773,0.00278773
9,9,1,0.449764,0.0339473,0,0,0.00289011,0.00289011
9,9,2,0.547653,0.0315262,0,0,0.00199311,0.00199311
9,9,3,0.63969,0.0185316,0,0,0.00212107,0.00212107
9,9,4,0.715833,0.00242503,0,0,0.00118569,0.00118569
10,0,0,0.255102,8.45724,0,0,2.15784,2.15784
10,0,1,0.348876,3.42812,0,0,0.25515,0.25515
10,0,2,0.44861,1.74008,0,0,0.122752,0.122752
10,0,3,0.547322,0.920245,0,0,0.0572009,0.0572009
10,0,4,0.64447,0.552782,0,0,0.0353411,0.0353411
10,0,5,0.736104,0.271254,0,0,0.0223061,0.0223061
10,1,0,0.255589,6.67096,0,0,1.10498,1.10498
10,1,1,0.348965,2.86386,0,0,0.200422,0.200422
10,1,2,0.447283,1.44014,0,0,0.0976212,0.0976212
10,1,3,0.547024,0.817174,0,0,0.0527154,0.0527154
10,1,4,0.645227,0.499797,0,0,0.0264478,0.0264478
10,1,5,0.734431,0.20275,0,0,0.0172816,0.0172816
10,2,0,0.255846,5.16596,0,0,0.691023,0.691023
10,2,1,0.348535,2.41169,0,0,0.120744,0.120744
